run_date,data_asof,target_weight,har_vol,last_close
2026-08-18,2026-08-14,0.6080,0.4112,76.79
2026-08-18,2026-08-18,0.6080,0.3919,72.46
2026-08-19,2026-08-19,0.6080,0.3877,72.62
2026-08-20,2026-08-20,0.6080,0.4123,70.76
2026-08-21,2026-08-21,0.6080,0.3973,70.95
2026-08-24,2026-08-24,0.6080,0.3978,69.26
2026-08-25,2026-08-25,0.6080,0.4029,70.29
2026-08-26,2026-08-26,0.6080,0.4017,69.78
2026-08-28,2026-08-28,0.6080,0.3792,71.85
2026-08-31,2026-08-31,0.6080,0.3792,71.92
2026-09-01,2026-09-01,0.6080,0.3673,69.11
2026-09-02,2026-09-02,0.6080,0.3913,69.44
2026-09-03,2026-09-03,0.6080,0.3643,72.37
